-0.600	0.015
-0.589	0.018
-0.577	0.029
-0.565	0.034
-0.555	0.043
-0.546	0.051
-0.535	0.042
-0.527	0.031
-0.514	0.032
-0.499	0.045
-0.489	0.059
-0.479	0.057
-0.471	0.056
-0.463	0.072
-0.451	0.090
-0.443	0.077
-0.435	0.066
-0.420	0.061
-0.409	0.063
-0.400	0.083
-0.393	0.102
-0.384	0.121
-0.374	0.164
-0.368	0.197
-0.362	0.207
-0.357	0.188
-0.351	0.143
-0.344	0.107
-0.338	0.101
-0.331	0.105
-0.322	0.115
-0.315	0.138
-0.309	0.157
-0.304	0.168
-0.298	0.161
-0.293	0.150
-0.287	0.160
-0.282	0.184
-0.277	0.223
-0.273	0.263
-0.269	0.279
-0.265	0.271
-0.261	0.238
-0.255	0.189
-0.248	0.166
-0.241	0.152
-0.233	0.137
-0.226	0.138
-0.218	0.176
-0.210	0.228
-0.203	0.264
-0.199	0.324
-0.194	0.390
-0.190	0.462
-0.188	0.519
-0.187	0.554
-0.186	0.595
-0.183	0.626
-0.179	0.615
-0.174	0.519
-0.171	0.406
-0.168	0.342
-0.164	0.277
-0.161	0.234
-0.155	0.198
-0.147	0.188
-0.140	0.190
-0.133	0.218
-0.129	0.265
-0.125	0.280
-0.122	0.285
-0.118	0.269
-0.114	0.237
-0.111	0.225
-0.106	0.230
-0.104	0.249
-0.098	0.297
-0.094	0.375
-0.092	0.415
-0.089	0.464
-0.086	0.479
-0.083	0.453
-0.079	0.387
-0.076	0.326
-0.072	0.274
-0.069	0.246
-0.061	0.207
-0.056	0.180
-0.050	0.152
-0.043	0.147
-0.037	0.149
-0.033	0.165
-0.029	0.190
-0.024	0.237
-0.020	0.292
-0.017	0.361
-0.014	0.428
-0.011	0.526
-0.009	0.634
-0.006	0.751
-0.004	0.902
-0.003	0.951
7.855e-4	0.996
0.003	0.946
0.005	0.867
0.007	0.775
0.009	0.686
0.011	0.602
0.013	0.524
0.016	0.415
0.017	0.361
0.021	0.280
0.025	0.216
0.031	0.153
0.037	0.112
0.045	0.083
0.056	0.063
0.071	0.049
0.080	0.046
0.093	0.034
0.103	0.025
0.114	0.020
0.128	0.016
0.144	0.013
0.166	0.011
0.185	0.010
0.209	0.010
0.231	0.006
0.259	0.007
0.293	0.005
0.321	0.005
0.354	0.003
0.389	0.004
0.420	0.002
0.451	0.004
0.489	5.484e-4
0.536	0.003
0.574	0.003
0.599	0.004
