-0.598	0.002
-0.577	-4.425e-4
-0.545	-4.425e-4
-0.514	0.002
-0.479	0.002
-0.453	-2.413e-4
-0.400	0.008
-0.353	0.008
-0.300	0.006
-0.247	0.008
-0.200	0.012
-0.175	0.013
-0.156	0.018
-0.138	0.018
-0.121	0.022
-0.104	0.027
-0.092	0.040
-0.081	0.042
-0.069	0.046
-0.056	0.059
-0.048	0.077
-0.038	0.113
-0.034	0.139
-0.026	0.189
-0.021	0.235
-0.018	0.324
-0.015	0.398
-0.011	0.578
-0.008	0.751
-0.003	0.943
-9.298e-5	0.998
0.003	0.947
0.006	0.826
0.009	0.653
0.013	0.523
0.015	0.444
0.018	0.335
0.022	0.261
0.027	0.213
0.033	0.167
0.038	0.145
0.045	0.128
0.053	0.139
0.061	0.174
0.066	0.198
0.075	0.204
0.080	0.227
0.085	0.292
0.088	0.357
0.092	0.420
0.096	0.457
0.100	0.431
0.103	0.392
0.105	0.337
0.107	0.311
0.109	0.271
0.114	0.235
0.120	0.228
0.123	0.247
0.129	0.258
0.136	0.238
0.142	0.220
0.149	0.216
0.152	0.231
0.157	0.274
0.160	0.333
0.165	0.472
0.170	0.580
0.172	0.660
0.173	0.712
0.176	0.757
0.180	0.732
0.184	0.632
0.187	0.547
0.190	0.474
0.193	0.385
0.197	0.324
0.200	0.267
0.204	0.222
0.209	0.187
0.215	0.166
0.223	0.171
0.231	0.171
0.240	0.171
0.246	0.171
0.254	0.179
0.259	0.215
0.264	0.255
0.268	0.297
0.272	0.331
0.276	0.317
0.280	0.282
0.283	0.248
0.288	0.203
0.293	0.169
0.301	0.169
0.306	0.172
0.314	0.157
0.319	0.135
0.325	0.133
0.332	0.140
0.338	0.166
0.342	0.194
0.347	0.244
0.350	0.276
0.353	0.301
0.360	0.272
0.364	0.241
0.369	0.206
0.373	0.162
0.380	0.120
0.386	0.100
0.395	0.090
0.401	0.093
0.410	0.088
0.423	0.077
0.432	0.080
0.439	0.103
0.448	0.128
0.456	0.108
0.466	0.081
0.474	0.071
0.485	0.071
0.497	0.056
0.507	0.053
0.520	0.066
0.531	0.086
0.540	0.074
0.552	0.050
0.565	0.035
0.577	0.032
0.590	0.032
0.599	0.022
